id,time,depth.cm,cohort,recovery.status,wet.mass,dry.mass,water,lipid.con,lipid,survival.to.sample,id,carb.con,carb,protein.con,protein,energy2,energy
C1.A10.1,2015-10-01,18.8,a,alive,499.0,159.0,340.0,0.371,58.989,yes,C1.A10.1,0.0317,5.0403,0.255020367,40.54823829,2406.97698,59.36082754
C1.A10.3,2015-10-01,23.7,a,alive,505.1,154.3,350.8,0.371,57.2453,yes,C1.A10.3,0.021,3.2403,0.219411405,33.85517984,2306.76957,68.13638507
C1.A10.4,2015-10-01,26.6,a,alive,483.4,165.3,318.1,0.329,54.3837,yes,C1.A10.4,0.0178,2.94234,0.191551142,31.66340377,2189.064594,69.13547923
C1.B5.1,2015-10-01,20.0,a,alive,514.3,176.8,337.5,0.436,77.0848,yes,C1.B5.1,0.018,3.1824,0.124630785,22.03472274,3085.44288,140.0263991
C1.B5.2,2015-10-01,19.7,a,alive,415.6,148.3,267.3,0.367,54.4261,yes,C1.B5.2,0.0272,4.03376,0.139823353,20.73580329,2209.939906,106.5760451
C1.B5.4,2015-10-01,22.0,a,alive,436.9,166.6,270.3,0.286,47.6476,yes,C1.B5.4,0.0136,2.26576,0.223482759,37.23222759,1912.428056,51.36485728
C2.A14.1,2015-10-01,8.0,b,alive,314.4,126.5,187.9,0.359,45.4135,yes,C2.A14.1,0.0124,1.5686,0.165143856,20.8906978,1812.35791,86.75430219
C2.A14.3,2015-10-01,9.9,b,alive,419.7,147.3,272.4,0.366,53.9118,yes,C2.A14.3,0.0233,3.43209,0.166574148,24.53637204,2179.138524,88.81258077
C2.A14.4,2015-10-01,25.4,b,alive,519.1,181.1,338.0,0.594,107.5734,yes,C2.A14.4,,,0.121647358,22.03033648,,
C2.A14.5,2015-10-01,24.1,b,alive,404.4,182.3,222.1,0.435,79.3005,yes,C2.A14.5,0.0218,3.97414,0.130936937,23.8698036,3186.454514,133.4931182
C2.C4.1,2015-10-01,6.8,b,alive,519.3,180.3,339.0,0.387,69.7761,yes,C2.C4.1,0.0529,9.53787,0.11901007,21.45751571,2910.067242,135.6199516
C2.C4.2,2015-10-01,12.6,b,alive,478.8,90.1,388.7,0.308,27.7508,yes,C2.C4.2,0.0312,2.81112,0.140440882,12.65372345,1140.082152,90.09855137
C2.C4.3,2015-10-01,13.9,b,alive,309.7,91.4,218.3,0.290,26.506,yes,C2.C4.3,0.0191,1.74574,0.17659703,16.14096851,1072.410824,66.44030208
C2.C4.4,2015-10-01,15.3,b,alive,387.0,146.3,240.7,0.313,45.7919,yes,C2.C4.4,0.0276,4.03788,0.166326,24.3334938,1870.688358,76.87709679
C2.C4.5,2015-10-01,20.5,b,alive,381.9,134.0,247.9,0.454,60.836,yes,C2.C4.5,0.0215,2.881,,,,
C2.C4.6,2015-10-01,24.6,b,alive,342.3,102.5,239.8,0.288,29.52,yes,C2.C4.6,0.01,1.025,0.120611504,12.36267911,1178.176,95.30102572
C2.D9.1,2015-10-01,3.5,b,alive,398.7,130.8,267.9,0.405,52.974,yes,C2.D9.1,0.032,4.1856,0.023813008,3.114741463,2155.54476,692.046125
C2.D9.4,2015-10-01,19.4,b,alive,365.1,140.3,224.8,0.430,60.329,yes,C2.D9.4,0.0089,1.24867,0.103274291,14.4893831,2392.906292,165.1489422
C2.D9.5,2015-10-01,23.9,b,alive,394.4,129.9,264.5,0.384,49.8816,yes,C2.D9.5,0.0273,3.54627,,,,
C2.D9.6,2015-10-01,24.0,b,alive,424.3,119.3,305.0,0.330,39.369,yes,C2.D9.6,0.014,1.6702,0.113365854,13.52454634,1576.59722,116.5730207
C1.A3.1,2015-11-01,8.3,a,alive,393.1,125.9,267.2,0.310,39.029,yes,C1.A3.1,0.0255,3.21045,0.217692991,27.40754758,1590.34362,58.02575423
C1.A3.3,2015-11-01,24.4,a,alive,484.7,189.5,295.2,0.355,67.2725,yes,C1.A3.3,0.0439,8.31905,0.186030754,35.25282788,2790.22453,79.14895621
C1.A3.4,2015-11-01,29.9,a,alive,490.5,165.4,325.1,0.369,61.0326,yes,C1.A3.4,0.0135,2.2329,0.151673695,25.08682912,2437.88022,97.17769467
C1.B10.1,2015-11-01,12.9,a,alive,515.2,152.6,362.6,0.301,45.9326,yes,C1.B10.1,0.0147,2.24322,0.158403178,24.17232493,1844.631852,76.31172664
C1.B14.1,2015-11-01,18.5,a,alive,492.8,186.0,306.8,0.398,74.028,yes,C1.B14.1,0.0093,1.7298,0.160786417,29.90627362,2939.74488,98.29860173
C1.B14.6,2015-11-01,25.4,a,alive,528.5,198.8,329.7,0.366,72.7608,yes,C1.B14.6,0.0536,10.65568,0.193928644,38.55301448,3047.039408,79.03504952
C1.B14.7,2015-11-01,26.0,a,alive,422.8,139.2,283.6,0.281,39.1152,yes,C1.B14.7,0.0182,2.53344,0.218252747,30.38078242,1581.815904,52.06633201
C1.B14.8,2015-11-01,24.9,a,alive,489.1,175.7,313.4,0.376,66.0632,yes,C1.B14.8,0.0243,4.26951,0.21996131,38.64720208,2671.427136,69.12342917
C2.D12.3,2015-11-01,13.5,b,alive,389.6,129.9,259.7,0.324,42.0876,yes,C2.D12.3,0.0339,4.40361,0.121382653,15.76760663,1731.546216,109.8166803
C2.D12.4,2015-11-01,14.8,b,alive,423.7,160.6,263.1,0.336,53.9616,yes,C2.D12.4,0.0047,0.75482,0.149587302,24.02372063,2133.975712,88.82786078
C2.E13.1,2015-11-01,5.3,b,alive,320.4,96.1,224.3,0.336,32.2896,yes,C2.E13.1,0.0252,2.42172,0.119068115,11.4424458,1311.603552,114.6261537
C2.E13.2,2015-11-01,7.2,b,alive,250.8,88.1,162.7,0.307,27.0467,yes,C2.E13.2,0.0224,1.97344,0.164449848,14.48803161,1097.667854,75.76376719
C2.E13.4,2015-11-01,6.8,b,alive,380.0,145.2,234.8,0.383,55.6116,yes,C2.E13.4,0.0393,5.70636,0.121681957,17.66822018,2285.967816,129.3830274
C2.E13.5,2015-11-01,9.7,b,alive,406.6,138.6,268.0,0.344,47.6784,yes,C2.E13.5,0.0204,2.82744,0.0398666,5.525510732,1923.524064,348.1169718
C2.E13.6,2015-11-01,11.2,b,alive,514.4,146.6,367.8,0.361,52.9226,yes,C2.E13.6,0.0424,6.21584,0.145444004,21.32209098,2189.256964,102.6755287
C2.E13.7,2015-11-01,13.1,b,alive,324.1,111.3,212.8,0.316,35.1708,yes,C2.E13.7,0.034,3.7842,0.117510427,13.07891053,1448.81436,110.7748506
C2.E13.9,2015-11-01,15.6,b,alive,365.2,132.8,232.4,0.324,43.0272,yes,C2.E13.9,0.0385,5.1128,0.117293,15.5765104,1780.95424,114.3358939
C2.F5.1,2015-11-01,2.5,b,alive,538.8,189.7,349.1,0.314,59.5658,yes,C2.F5.1,0.0231,4.38207,0.116301301,22.06235686,2418.060372,109.6011812
C2.F5.2,2015-11-01,3.1,b,alive,455.6,126.7,328.9,0.350,44.345,yes,C2.F5.2,0.029,3.6743,0.110908451,14.0521007,1807.42618,128.6232015
C1.C2.2,2016-01-01,15.5,a,alive,498.6,147.8,350.8,0.321,47.4438,yes,C1.C2.2,0.0332,4.90696,0.167578362,24.7680819,1950.903836,78.76685178
C1.C2.5,2016-01-01,20.6,a,alive,530.9,127.0,403.9,0.305,38.735,yes,C1.C2.5,0.0378,4.8006,0.21275617,27.02003356,1606.77606,59.46610156
C1.C2.6,2016-01-01,25.2,a,alive,566.5,156.7,409.8,0.302,47.3234,yes,C1.C2.6,0.0333,5.21811,0.198045545,31.03373683,1951.648356,62.88795857
C1.C8.1,2016-01-01,16.3,a,alive,483.4,173.5,309.9,0.323,56.0405,yes,C1.C8.1,0.0533,9.24755,0.210886476,36.58880355,2365.14853,64.64131921
C2.D4.2,2016-01-01,12.5,b,alive,396.9,139.6,257.3,0.360,50.256,yes,C2.D4.2,0.0371,5.17916,0.109618328,15.30271863,2066.214016,135.0226758
C2.D4.3,2016-01-01,16.9,b,alive,372.9,130.5,242.4,0.303,39.5415,yes,C2.D4.3,0.0264,3.4452,0.231742132,30.24234822,1614.61647,53.38925596
C2.D4.4,2016-01-01,24.5,b,alive,367.7,136.6,231.1,0.374,51.0884,yes,C2.D4.4,0.0258,3.52428,0.156138446,21.32851175,2069.801448,97.04387591
C2.A6.2,2016-01-01,7.6,b,alive,420.6,147.0,273.6,0.401,58.947,yes,C2.A6.2,0.0376,5.5272,0.11825816,17.38394955,2413.89582,138.8577327
C2.A6.3,2016-01-01,9.0,b,alive,317.1,110.5,206.6,0.339,37.4595,yes,C2.A6.3,0.0118,1.3039,0.138848064,15.34271102,1495.10699,97.44737992
C2.A6.4,2016-01-01,12.5,b,alive,429.2,145.0,284.2,0.377,54.665,yes,C2.A6.4,0.0261,3.7845,0.131670719,19.09225431,2214.9417,116.012581
C2.A6.6,2016-01-01,12.6,b,alive,416.7,138.0,278.7,0.424,58.512,yes,C2.A6.6,0.0175,2.415,0.162047714,22.36258449,2342.0256,104.7296479
