"#","Date Time, GMT-04:00","30cm, °C","20cm, °C"
1,15-07-21 15:00:00,30.041,27.481
2,15-07-21 16:00:00,27.358,27.259
3,15-07-21 17:00:00,25.914,26.646
4,15-07-21 18:00:00,25.040,26.158
5,15-07-21 19:00:00,24.508,25.817
6,15-07-21 20:00:00,24.171,25.574
7,15-07-21 21:00:00,23.930,25.404
8,15-07-21 22:00:00,23.785,25.210
9,15-07-21 23:00:00,23.665,25.040
10,15-07-22 00:00:00,23.569,24.823
11,15-07-22 01:00:00,23.472,24.629
12,15-07-22 02:00:00,23.400,24.388
13,15-07-22 03:00:00,23.280,24.171
14,15-07-22 04:00:00,23.184,23.930
15,15-07-22 05:00:00,23.064,23.689
16,15-07-22 06:00:00,22.944,23.448
17,15-07-22 07:00:00,22.800,23.184
18,15-07-22 08:00:00,22.681,22.920
19,15-07-22 09:00:00,22.513,22.657
20,15-07-22 10:00:00,22.369,22.417
21,15-07-22 11:00:00,22.226,22.202
22,15-07-22 12:00:00,22.082,22.082
23,15-07-22 13:00:00,21.939,22.011
24,15-07-22 14:00:00,21.843,22.034
25,15-07-22 15:00:00,21.772,22.130
26,15-07-22 16:00:00,21.748,22.274
27,15-07-22 17:00:00,21.748,22.465
28,15-07-22 18:00:00,21.795,22.681
29,15-07-22 19:00:00,21.867,22.920
30,15-07-22 20:00:00,21.939,23.136
31,15-07-22 21:00:00,22.058,23.328
32,15-07-22 22:00:00,22.154,23.448
33,15-07-22 23:00:00,22.250,23.472
34,15-07-23 00:00:00,22.298,23.448
35,15-07-23 01:00:00,22.345,23.352
36,15-07-23 02:00:00,22.345,23.208
37,15-07-23 03:00:00,22.345,23.040
38,15-07-23 04:00:00,22.298,22.848
39,15-07-23 05:00:00,22.226,22.657
40,15-07-23 06:00:00,22.130,22.441
41,15-07-23 07:00:00,22.034,22.250
42,15-07-23 08:00:00,21.939,22.034
43,15-07-23 09:00:00,21.819,21.819
44,15-07-23 10:00:00,21.700,21.628
45,15-07-23 11:00:00,21.581,21.461
46,15-07-23 12:00:00,21.461,21.390
47,15-07-23 13:00:00,21.366,21.413
48,15-07-23 14:00:00,21.294,21.509
49,15-07-23 15:00:00,21.270,21.724
50,15-07-23 16:00:00,21.294,21.987
51,15-07-23 17:00:00,21.366,22.321
52,15-07-23 18:00:00,21.461,22.657
53,15-07-23 19:00:00,21.604,22.992
54,15-07-23 20:00:00,21.748,23.280
55,15-07-23 21:00:00,21.915,23.497
56,15-07-23 22:00:00,22.058,23.665
57,15-07-23 23:00:00,22.202,23.737
58,15-07-24 00:00:00,22.298,23.761
59,15-07-24 01:00:00,22.393,23.689
60,15-07-24 02:00:00,22.441,23.593
61,15-07-24 03:00:00,22.441,23.472
62,15-07-24 04:00:00,22.441,23.328
63,15-07-24 05:00:00,22.417,23.160
64,15-07-24 06:00:00,22.369,22.992
65,15-07-24 07:00:00,22.298,22.824
66,15-07-24 08:00:00,22.226,22.657
67,15-07-24 09:00:00,22.130,22.465
